,name,function,chain,date
377,plex,Honeypot,ETH,
378,Exorthous Finance,Exit Scam,ETH,
379,WhaleSwap,Abandoned,BSC,
380,Ultimate Set Dollar,Exit Scam,ETH,02.01.2021
381,Inertia Money,Abandoned,ETH,14.01.2021
382,SAD2Token,Abandoned,ETH,05.12.2020
383,Decentralized Privacy,Exit Scam,ETH,22.12.2020
384,W3RLD,,ETH,
385,GALIL,Exit Scam,ETH,10.11.2020
386,Microbit,,ETH,
387,Vaultz Defi,,ETH,
388,KumQuat,Exit Scam,BSC,
389,Tree Finance,Abandoned,ETH,12.12.2020
390,Compasswap Token,Exit Scam,BSC,21.11.2020
391,Kanva (fake),Exit Scam,ETH,
392,SoSo token,,ETH,
393,Dolphin Token,Exit Scam,ETH,
394,Dasis Cash,Abandoned,ETH,10.01.2021
395,Xdef finance (relaunch),Exit Scam,ETH,
396,Beer Garden,Abandoned,BSC,21.10.2020
397,Link Based,Abandoned,ETH,16.01.2021
398,Exbase Finance,Exit Scam,ETH,
399,Asteroid Pump,Honeypot,ETH,
400,Dogeta Inu,Honeypot,ETH,
401,ALPHA WOLF,Honeypot,ETH,
402,MS,Honeypot,BSC,
403,NFTDragonBall,Honeypot,BSC,
404,SHINYSHIBA,Honeypot,BSC,
405,Bob`s repair,Exit Scam,ETH,
406,Pizza finance,Exit Scam,ETH,
407,Matcha,Exit Scam,ETH,
408,MoonkeyKong,Honeypot,BSC,
409,Defi For Inu,Honeypot,ETH,
410,BlackPool,Honeypot,ETH,
411,Bunny Token,Exit Scam,BSC,
412,GasPay,Honeypot,BSC,
413,Galaxy,Honeypot,BSC,
414,Musk Inu,Exit Scam,ETH,
415,PORNHUB,Honeypot,BSC,
416,AMAZON,Honeypot,BSC,
417,GateFinance,Honeypot,ETH,
418,Pizza Coin,Exit Scam,ETH,
419,BullMoon,Honeypot,ETH,
420,JeffBezos,Honeypot,BSC,
421,CERBERUS,Honeypot,BSC,
422,Hanzo inu,Honeypot,BSC,
423,EPIC TRACTOR,Honeypot,BSC,
424,Ukawa Inu,Exit Scam,ETH,
425,FUTURE,Honeypot,ETH,
426,WhiteNova,Honeypot,BSC,
427,Enlighten,Honeypot,BSC,
428,DogeFinance,Exit Scam,ETH,
429,ACID RAIN,Honeypot,BSC,
430,Biohazard,Honeypot,BSC,
431,SPACE GEM,Honeypot,BSC,
432,Chow Inu,Honeypot,ETH,
433,KimJongMoon,Honeypot,BSC,
434,The Doge Space X,Honeypot,ETH,
435,PolkaRare,Honeypot,ETH,
436,LODE Finance,Honeypot,ETH,
437,TrustPad,Honeypot,ETH,
438,MoonSquirrel,Honeypot,BSC,
439,Space Inu,Exit Scam,ETH,
440,Captain,Honeypot,BSC,
441,Polylastic,Honeypot,ETH,
442,Splashdown Of Dragon,Honeypot,ETH,
443,The Dragon Godfather,Honeypot,ETH,
444,SafeAurora,Honeypot,BSC,
445,gamee.com,Honeypot,ETH,
446,ElonFrog,Honeypot,BSC,
447,rock solid Vaults,Honeypot,BSC,
448,CoreSwap.finance,Honeypot,ETH,
449,RAZE Network,Honeypot,ETH,
450,Cere Network,Honeypot,ETH,
451,1Million,Honeypot,BSC,
452,DeFi Wonderland,Honeypot,ETH,
453,Safe-Me Finance,Honeypot,BSC,
454,Hex-Mex,Honeypot,ETH,
455,Neptun,Honeypot,BSC,
456,BitClave,,ETH,
457,Saiba Neko,Honeypot,BSC,
458,GoldenDoge,Honeypot,BSC,
459,Human Protocol,Honeypot,BSC,
460,Defi Land,Honeypot,ETH,
461,BitSpawn Token,Honeypot,ETH,
462,BitDao,Honeypot,ETH,
463,Binance-Peg Polygon,Honeypot,BSC,
464,CosmoKitty,Honeypot,BSC,
465,CatRocket,Honeypot,ETH,
466,MoonMiner,Honeypot,BSC,
467,GoldenShiba,Honeypot,BSC,
468,DRAGON INU,Honeypot,BSC,
469,AstroDoge,Honeypot,BSC,
470,Oyster,,ETH,
471,FLiK,,ETH,
472,ICOS,,ETH,
473,EverLife,Honeypot,BSC,
474,DOGEMASK,Honeypot,BSC,
475,ISTARDUST,Honeypot,ETH,
476,Instadapp,Honeypot,ETH,
477,LordShiba,Honeypot,BSC,
478,ANT1GOON,Exit Scam,ETH,
479,Wealthfront,Exit Scam,ETH,
480,ICONFoundation,Exit Scam,BSC,
481,CoinCoin,Exit Scam,BSC,
482,Gigachad Kishu,Honeypot,ETH,
483,SmartChainScan,Exit Scam,BSC,
484,DTP,Exit Scam,BSC,
485,Virus,Exit Scam,BSC,
486,Karura,Exit Scam,BSC,
487,Uranus Token,Exit Scam,ETH,
488,Tierion,Exit Scam,ETH,
489,Unikoin Gold,Exit Scam,ETH,
490,Little Mouse,Exit Scam,BSC,
491,RocketShiba,Honeypot,BSC,
492,Data Transaction Token,Exit Scam,ETH,
493,SpaceX Token,Honeypot,BSC,
494,Fuck Thanos,Exit Scam,ETH,
495,Nabox,Exit Scam,BSC,
496,Moonwalk,Exit Scam,BSC,
497,NOVASHIBA.COM,Exit Scam,BSC,
498,Goblin Town,Exit Scam,ETH,
499,Yearn Prometheus,Exit Scam,ETH,
500,HoDooi,Exit Scam,ETH,
501,JamTruAdr,Exit Scam,POLYGON,
502,SALT,Exit Scam,ETH,
503,JamTruAdr3,Exit Scam,POLYGON,
504,JamTruAdr2,Exit Scam,POLYGON,
505,JamTruAdr4,Exit Scam,POLYGON,
506,PolySnow,Exit Scam,POLYGON,
507,AL PACINU,Exit Scam,ETH,
508,Zombie Shiba,Exit Scam,ETH,
509,SHIBASWAP,Honeypot,ETH,
510,Yfi.mobi,Exit Scam,ETH,
511,YUMMYSHIBA,Exit Scam,BSC,
512,Jejudoge V2,Exit Scam,ETH,
513,TravelCake,Exit Scam,BSC,
514,FLUFFYSHIBA,Exit Scam,BSC,
515,Tuckoo Finance,Exit Scam,BSC,
516,AirToken,Exit Scam,ETH,
517,Moonfarm Finance,Exit Scam,ETH,
518,ASG Token,Exit Scam,BSC,
519,Faraland,Exit Scam,ETH,
520,PiggyBank,Exit Scam,BSC,
521,Gains Farm,Exit Scam,ETH,
522,Truample,Exit Scam,ETH,
523,Dropil,Exit Scam,ETH,
524,Xfinance,Exit Scam,ETH,
525,IYF.finance,Exit Scam,ETH,
526,Shopin,Exit Scam,ETH,
527,HOTDOGSWAP.ORG,Exit Scam,ETH,
528,Hisho Inu,Exit Scam,ETH,
529,Paragon,Exit Scam,ETH,
530,CoomRocket,Exit Scam,ETH,
531,EthereumSpacex,Exit Scam,ETH,
532,GamerX,Exit Scam,BSC,
533,Green Swap,Exit Scam,ETH,
534,Pluto Rocket Finance,Exit Scam,BSC,
535,ethereum-ultra.com,Exit Scam,ETH,
536,Bat Inu,Exit Scam,ETH,
537,DragonBite,Exit Scam,ETH,
538,7/20/21,Exit Scam,ETH,
539,Hypernova,Exit Scam,BSC,
540,Gitcoin,Exit Scam,BSC,
541,Hoge Inu,Exit Scam,ETH,
542,Akashi Inu,Exit Scam,ETH,
543,Ethelon Finance,Exit Scam,ETH,
544,MoonDate,Exit Scam,BSC,
545,Ethereum Cate,Exit Scam,ETH,
546,Fisa Inu,Exit Scam,ETH,
547,PugDog Inu,Exit Scam,ETH,
548,Wrapped Ultra Sound Money,Exit Scam,ETH,
549,YisusShiba,Exit Scam,BSC,
550,Supreme Inu,Exit Scam,ETH,
551,Neo Shiba,Exit Scam,ETH,
552,Jejudoge V2,Exit Scam,ETH,
553,GABECOIN,Exit Scam,BSC,
554,Dino Inu,Exit Scam,ETH,
555,MilitaryDoge,Exit Scam,BSC,
556,Volcano Money,Exit Scam,ETH,
557,Bitboy Inu,Exit Scam,ETH,
558,Crytocurency.Ai,Exit Scam,ETH,
559,Goose Inu,Exit Scam,ETH,
560,Bonu Inu,Exit Scam,ETH,
561,KingAkita,Honeypot,BSC,
562,DiamondHands,Exit Scam,BSC,
563,EthereumMoon,Exit Scam,ETH,
564,Anonymus Inu,Exit Scam,ETH,
565,DRAGON SWAP,Exit Scam,BSC,
566,Starlink Token,Exit Scam,BSC,
567,RocketInu,Honeypot,BSC,
568,Bonny Network,Exit Scam,BSC,
569,Stratos Network,Exit Scam,ETH,
570,uglyinu.io,Exit Scam,ETH,
571,Onlygreen,Exit Scam,BSC,
572,FormationFi,Exit Scam,BSC,
573,Croco Inu,Honeypot,ETH,
574,Kenshi Inu,Honeypot,ETH,
575,Shiba Diamond,Honeypot,BSC,
576,ANONYMOUS,Honeypot,BSC,
577,Sansho Inu,Honeypot,ETH,
578,ghostshiba.xyz,Honeypot,ETH,
579,Sether,Exit Scam,ETH,
580,padthai.finance,Exit Scam,ETH,
